,Hartsfield–Jackson Atlanta Intl.,Dallas/Fort Worth Intl.,Denver Intl.,O'Hare Intl.,Los Angeles Intl.,John F. Kennedy Intl.,Harry Reid Intl.,Orlando Intl.,Miami Intl.,Charlotte Douglas Intl.,Seattle–Tacoma Intl.,Phoenix Sky Harbor Intl.,Newark Liberty Intl.,San Francisco Intl.,George Bush Intercontinental Airport,Logan Intl.,Fort Lauderdale–Hollywood Intl.,Minneapolis–Saint Paul Intl.,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia Intl.,Salt Lake City Intl.,Ronald Reagan Washington National,San Diego Intl.,Baltimore/Washington Intl.,Tampa Intl.,Austin–Bergstrom Intl.,Washington Dulles Intl.,Nashville Intl.,Midway Intl.,Daniel K. Inouye Intl.
Seattle–Tacoma Intl.,2177.893380694289,1658.0290371523693,1022.4747633726536,1716.202193471475,955.0568266851146,2415.202038726222,866.9132883217064,2550.7117769638808,2721.4502891424245,2274.6287712835096,0.0,1107.2844943349266,2395.2650425406828,679.0725935745576,1872.1045188583676,2493.0478971991083,2714.103625162981,1394.9433760251216,2406.397140178894,1922.2665631330512,2372.3455470041686,693.8980172547808,2322.8458694687224,1051.5198469795887,2329.1515819383085,2517.325962107338,1769.4016633742608,2299.8538846720708,1973.808106912774,1728.8780976509704,2676.5626319688536
Phoenix Sky Harbor Intl.,1583.6998015366141,865.8587162682601,601.2843649823078,1437.2796082183363,369.5804083415773,2148.6359617726525,255.45855857198674,1845.1027931088101,1968.504827515079,1769.6967087320666,1107.2844943349266,0.0,2127.931233487659,650.4930211342286,1006.5123650082629,2293.956247930318,1968.9088989645209,1274.6383150592505,2143.7984332129668,1667.764838826562,2070.73197845236,497.882659203611,1974.207503135619,304.127371464888,1994.2493532440149,1784.8620950993193,870.2639370720169,1951.7780565725157,1445.3304596013606,1441.139464277824,2913.4824625310807
Newark Liberty Intl.,744.6913859951583,1369.728612556276,1600.8483480583127,717.1275692867476,2448.6492147442955,21.04152847813205,2221.879785021063,938.5490231609958,1087.5290540537915,528.013070790025,2395.2650425406828,2127.931233487659,0.0,2559.106872209555,1398.3581759814635,194.28777362751595,1066.583430031618,1005.7157952794191,16.853098009669257,486.38541917589106,79.70294448307163,1967.3287423904621,198.22122142780054,2420.2920991808182,168.5189146285057,998.4350276524444,1501.536427889786,211.53735011548943,745.8682751723816,708.8196819834569,4954.128807677845
San Francisco Intl.,2134.5075656166855,1461.7512157542853,965.0191352616391,1841.9902105984036,337.83743746030166,2580.130250281672,413.40175956107345,2441.8405196626527,2581.3818815687823,2291.31117661657,679.0725935745576,650.4930211342286,2559.106872209555,0.0,1632.3054696435995,2699.0567807254556,2579.603226608623,1585.551741547542,2573.3401610191,2074.2411393663206,2515.466114487333,593.2604161747598,2436.5570784778974,446.8562885046344,2451.2259937611466,2388.822031398923,1501.5856723971765,2413.110876362769,1964.2190276215833,1850.3739848334014,2396.190156683862
George Bush Intercontinental Airport,688.6693891524945,224.31551853030638,861.4908938506832,926.2841818241808,1375.9313469082774,1415.8021377996502,1219.2139765351947,853.0368507626979,963.2976646185738,911.8339748003303,1872.1045188583676,1006.5123650082629,1398.3581759814635,1632.3054696435995,0.0,1590.7309278569855,964.6240221849398,1035.6429675271797,1415.1674383764844,1075.7905653472078,1323.5017026769776,1189.8595190316576,1206.6236436869053,1300.410206357821,1234.2177212162474,786.5662695049976,139.49817029109948,1189.3726476511108,656.8100355566555,918.540855650616,3897.0115622457874
Logan Intl.,938.6458753702223,1555.6416542541988,1750.1927212166981,864.44522634179,2605.38723020796,179.41823866707318,2375.527320783725,1113.1317958239547,1250.7222993332723,720.2276386320962,2493.0478971991083,2293.956247930318,194.28777362751595,2699.0567807254556,1590.7309278569855,0.0,1229.6401235145074,1123.4881075394935,177.88717175330362,630.40243003185,272.9552678937473,2105.8184487088624,392.1194011241197,2582.0487888599623,362.61347658425194,1177.059563690981,1691.805553191155,405.82344730244074,936.2860107536268,858.3329093350062,5088.480938575747
Fort Lauderdale–Hollywood Intl.,582.1712459800596,1117.876332143564,1701.934704579293,1184.0513018320075,2338.4620937961577,1071.0081803455178,2170.0457905242774,177.68238657879837,21.088065897606118,633.4134953985048,2714.103625162981,1968.9088989645209,1066.583430031618,2579.603226608623,964.6240221849398,1229.6401235145074,0.0,1488.937077906027,1077.8608273486652,1129.871436797154,994.6733589202248,2079.5823641449806,901.2817062959006,2264.859476829454,927.6138570488671,196.8760983939655,1103.4224697547875,903.6562410396069,794.2224960799645,1168.7096051024798,4857.519407043031
Minneapolis–Saint Paul Intl.,906.8587597790047,852.919971038136,679.0230520833015,333.7139854488136,1533.1383847221007,1026.1382968377368,1297.3296522770358,1311.4563697767283,1502.6161546726848,929.6877745837359,1394.9433760251216,1274.6383150592505,1005.7157952794191,1585.551741547542,1035.6429675271797,1123.4881075394935,1488.937077906027,0.0,1017.8750396619615,527.3525600766966,978.3833211190928,994.4305966206135,928.8456756333682,1530.5171910196052,934.393837892152,1307.9287938379211,1043.278711436428,906.0604949589572,695.3295874531907,348.19283888044964,3966.494194272166
LaGuardia Airport,760.8665015747376,1386.5117505697876,1615.5953632121395,731.3600619144134,2463.9764175240884,10.631138134712904,2236.992724205174,951.2950193014589,1098.83365027132,543.6205775089317,2406.397140178894,2143.7984332129668,16.853098009669257,2573.3401610191,1415.1674383764844,177.88717175330362,1077.8608273486652,1017.8750396619615,0.0,500.0165612029714,95.3760196313789,1981.3873826618599,214.3271713543127,2435.9252206020924,184.74218616490433,1011.7783139316819,1518.389196501495,228.02638469822764,762.7213425650576,723.2143965522491,4968.128807724122
Detroit Metropolitan Airport,595.1598390945029,985.9933253224165,1120.3372634220802,234.12075735388112,1975.0552060011835,507.2963925581049,1745.165810941921,959.1864782179017,1147.7266145391302,500.58334935683746,1922.2665631330512,1667.764838826562,486.38541917589106,2074.2411393663206,1075.7905653472078,630.40243003185,1129.871436797154,527.3525600766966,500.0165612029714,0.0,452.18827180246217,1481.8124942426393,404.4096714394141,1952.9717795398867,407.89108366232404,984.7809702004051,1148.858787787648,382.3077193460424,456.669056667981,228.01232897193924,4468.328151732248
Philadelphia Intl.,665.6927842737894,1300.533236478344,1553.867527724695,676.2893917514763,2396.3084396693844,93.68933796334575,2171.4657061108496,862.8593243548335,1015.5258162688959,448.3302908977918,2372.3455470041686,2070.73197845236,79.70294448307163,2515.466114487333,1323.5017026769776,272.9552678937473,994.6733589202248,978.3833211190928,95.3760196313789,452.18827180246217,0.0,1925.325953520126,119.2144839961229,2365.220952773309,90.00807457268512,921.3868956258569,1428.6847845126058,134.29055733052658,673.7058125735557,666.7374637046972,4911.550031452569
Salt Lake City Intl.,1586.7131191043436,984.2731301596505,390.4994163748769,1250.3234479793007,580.9784384263155,1988.3309997366496,358.1626538127025,1927.0743907029623,2084.422242586784,1724.6689535955848,693.8980172547808,497.882659203611,1967.3287423904621,593.2604161747598,1189.8595190316576,2105.8184487088624,2079.5823641449806,994.4305966206135,1981.3873826618599,1481.8124942426393,1925.325953520126,0.0,1849.6746210430617,617.0112389342186,1863.2610475222205,1883.6791157584194,1080.4194314795977,1826.16297363846,1401.8023747973675,1259.1047516059962,2986.8266794253254
Ronald Reagan Washington National,546.5439346264137,1189.8120166102942,1472.1917158639872,610.5015636842561,2305.8104177176015,212.90040594769897,2083.8172002339516,760.5758033809943,921.8258840469529,330.84583658762926,2322.8458694687224,1974.207503135619,198.22122142780054,2436.5570784778974,1206.6236436869053,392.1194011241197,901.2817062959006,928.8456756333682,214.3271713543127,404.4096714394141,119.2144839961229,1849.6746210430617,0.0,2271.1604602571538,30.0154205547847,815.0956789509396,1313.7381436533512,23.53361372380313,560.5765202206408,599.182999576963,4832.2684731727295
San Diego Intl.,1887.8185372432433,1168.7071391621057,852.0614309491023,1720.2673290429248,109.01973321953827,2441.1265700724175,258.84897889799373,2145.0298874830473,2263.7057498247596,2072.816107927296,1051.5198469795887,304.127371464888,2420.2920991808182,446.8562885046344,1300.410206357821,2582.0487888599623,2264.859476829454,1530.5171910196052,2435.9252206020924,1952.9717795398867,2365.220952773309,617.0112389342186,2271.1604602571538,0.0,2290.448957899728,2083.2470438725513,1162.2617005693953,2248.5084930341413,1747.6720304995235,1725.1889551440115,2609.8655811367844
Baltimore/Washington Intl.,576.1724786730318,1214.7167259173232,1487.4632872205825,620.1482233752536,2323.980349046764,183.62688048423536,2101.0697246120403,788.5671910555756,948.2299950403718,360.8611427709526,2329.1515819383085,1994.2493532440149,168.5189146285057,2451.2259937611466,1234.2177212162474,362.61347658425194,927.6138570488671,934.393837892152,184.74218616490433,407.89108366232404,90.00807457268512,1863.2610475222205,30.0154205547847,2290.448957899728,0.0,843.8172574987918,1340.4124658624871,45.06582142923923,586.3094518574092,609.3314528914811,4847.262453340761
Tampa Intl.,407.25172123671956,927.5738475107131,1505.2371263858913,1013.6755361806887,2154.0251397930647,1006.4977208162823,1980.7264181071216,80.88101917693861,204.53259923691925,508.8184759172414,2517.325962107338,1784.8620950993193,998.4350276524444,2388.822031398923,786.5662695049976,1177.059563690981,196.8760983939655,1307.9287938379211,1011.7783139316819,984.7809702004051,921.3868956258569,1883.6791157584194,815.0956789509396,2083.2470438725513,843.8172574987918,0.0,926.0587517443025,812.6052734782128,613.0763702962673,998.5542801299889,4683.577037283936
Austin–Bergstrom Intl.,811.644601460791,190.39932784823412,775.7313280907614,978.4580050771419,1239.2632463226873,1519.7142089430556,1088.1848147090625,992.4029622528054,1101.7785977356946,1030.9411056013032,1769.4016633742608,870.2639370720169,1501.536427889786,1501.5856723971765,139.49817029109948,1691.805553191155,1103.4224697547875,1043.278711436428,1518.389196501495,1148.858787787648,1428.6847845126058,1080.4194314795977,1313.7381436533512,1162.2617005693953,1340.4124658624871,926.0587517443025,0.0,1295.361977430109,755.7169517948646,972.6162465749104,3757.5182950504936
Washington Dulles Intl.,533.9043953111222,1169.833575731925,1448.790575610885,587.1320886473986,2282.878235156717,227.5024128362385,2060.6977536579993,759.9049835068972,924.0703452699636,321.90029048712813,2299.8538846720708,1951.7780565725157,211.53735011548943,2413.110876362769,1189.3726476511108,405.82344730244074,903.6562410396069,906.0604949589572,228.02638469822764,382.3077193460424,134.29055733052658,1826.16297363846,23.53361372380313,2248.5084930341413,45.06582142923923,812.6052734782128,1295.361977430109,0.0,541.2663195385542,575.7680271982732,4808.856920526838
Nashville Intl.,213.8847763071182,630.2774916676677,1011.3759418993795,409.70709595095275,1793.5775470236,764.168823917842,1583.9229378585494,617.1322950581078,807.541299635674,327.9481180363676,1973.808106912774,1445.3304596013606,745.8682751723816,1964.2190276215833,656.8100355566555,936.2860107536268,794.2224960799645,695.3295874531907,762.7213425650576,456.669056667981,673.7058125735557,1401.8023747973675,560.5765202206408,1747.6720304995235,586.3094518574092,613.0763702962673,755.7169517948646,541.2663195385542,0.0,395.3254566698026,4342.713524292412
Midway Intl.,591.3077822624011,797.3912763751811,893.3022411079637,15.434707506987202,1747.0689244601926,729.8531329624395,1517.4092228587738,991.4124395105994,1184.0174428735745,584.2256916518447,1728.8780976509704,1441.139464277824,708.8196819834569,1850.3739848334014,918.540855650616,858.3329093350062,1168.7096051024798,348.19283888044964,723.2143965522491,228.01232897193924,666.7374637046972,1259.1047516059962,599.182999576963,1725.1889551440115,609.3314528914811,998.5542801299889,972.6162465749104,575.7680271982732,395.3254566698026,0.0,4245.853538253046
Daniel K. Inouye Intl.,4494.877404362734,3778.424266593581,3360.0881726770544,4237.147325512264,2552.6060396442144,4975.124722912757,2759.012663417564,4748.8976840308615,4854.159107538538,4670.500843070019,2676.5626319688536,2913.4824625310807,4954.128807677845,2396.190156683862,3897.0115622457874,5088.480938575747,4857.519407043031,3966.494194272166,4968.128807724122,4468.328151732248,4911.550031452569,2986.8266794253254,4832.2684731727295,2609.8655811367844,4847.262453340761,4683.577037283936,3757.5182950504936,4808.856920526838,4342.713524292412,4245.853538253046,0.0
