source airport,destination airport,aircraft type,distance (weighted in km),number of passengers for 2% market share (flight demand), fuel (gallons)
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 767-800,1233.008589080028,28,1702.9329315379161
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A200-100,1233.008589080028,28,1277.199698653437
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A220-300,1233.008589080028,28,1161.090635139488
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 747-400,1233.008589080028,28,3483.2719054184645
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 737-600,963.5737589774957,18,1088.8454251398334
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 767-800,963.5737589774957,18,1330.8110751709078
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A200-100,963.5737589774957,18,998.1083063781808
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A220-300,963.5737589774957,18,907.3711876165279
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 747-400,963.5737589774957,18,2722.1135628495836
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 737-600,1077.9964306229992,26,1218.1438845392386
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 767-800,1077.9964306229992,26,1488.8425255479583
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A200-100,1077.9964306229992,26,1116.6318941609688
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A220-300,1077.9964306229992,26,1015.1199037826988
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 747-400,1077.9964306229992,26,3045.3597113480964
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 737-600,2527.6122138520327,5,2856.220367085183
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 767-800,2527.6122138520327,5,3490.936004215224
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A200-100,2527.6122138520327,5,2618.202003161418
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A220-300,2527.6122138520327,5,2380.183639237652
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 747-400,2527.6122138520327,5,7140.550917712957
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,884.4609019203916,9,999.4473155775937
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,884.4609019203916,9,1221.5467190392812
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,884.4609019203916,9,916.160039279461
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,884.4609019203916,9,832.872762981328
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 747-400,884.4609019203916,9,2498.618288943984
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 737-600,3000.3201727274522,14,3390.3838326769333
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 767-800,3000.3201727274522,14,4143.802462160696
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A200-100,3000.3201727274522,14,3107.8518466205223
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A220-300,3000.3201727274522,14,2825.319860564111
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 747-400,3000.3201727274522,14,8475.959581692334
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 737-600,932.7187338905179,9,1053.9790201599162
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 767-800,932.7187338905179,9,1288.1965801954532
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A200-100,932.7187338905179,9,966.1474351465899
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A220-300,932.7187338905179,9,878.3158501332634
