Origin Airport,Destination Airport,Weighted Distance
Los Angeles International Airport,Philadelphia International Airport,3927.3866497117683
Los Angeles International Airport,Salt Lake City International Airport,953.9027390131129
Los Angeles International Airport,Ronald Reagan Washington National Airport,3776.876823735304
Los Angeles International Airport,San Diego International Airport,-1
Los Angeles International Airport,Baltimore/Washington International Airport,3807.088582571599
Los Angeles International Airport,Tampa International Airport,3524.742680755583
Los Angeles International Airport,Austin-Bergstrom International Airport,2014.8758859178172
Los Angeles International Airport,Washington Dulles International Airport,3738.6419327062627
Los Angeles International Airport,Nashville International Airport,2927.1299292089443
Los Angeles International Airport,Paris Charles de Gaulle Airport,9484.354522903408
John F. Kennedy International Airport,Hartsfield-Jackson Atlanta International Airport,1217.1226393876548
John F. Kennedy International Airport,Dallas/Fort Worth International Airport,2215.6694092085722
John F. Kennedy International Airport,Denver International Airport,2582.319822317422
John F. Kennedy International Airport,O'Hare International Airport,1182.9920418042907
John F. Kennedy International Airport,Los Angeles International Airport,3907.4853293722476
John F. Kennedy International Airport,Harry Reid International Airport,3554.1450472285005
John F. Kennedy International Airport,Orlando International Airport,1513.643420868932
John F. Kennedy International Airport,Miami International Airport,1745.1188931866213
John F. Kennedy International Airport,Charlotte Douglas International Airport,868.7188335558578
John F. Kennedy International Airport,Seattle-Tacoma International Airport,3822.675544638728
John F. Kennedy International Airport,Phoenix Sky Harbor International Airport,3407.907460091041
John F. Kennedy International Airport,Newark Liberty International Airport,-1
John F. Kennedy International Airport,San Francisco International Airport,4079.0335052182354
John F. Kennedy International Airport,George Bush Intercontinental Airport,2256.6929446537033
John F. Kennedy International Airport,Logan International Airport,300.42038247496686
John F. Kennedy International Airport,Fort Lauderdale-Hollywood International Airport,1712.0832542588491
John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,1639.9731405960433
John F. Kennedy International Airport,LaGuardia Airport,-1
John F. Kennedy International Airport,Detroit Metropolitan Airport,814.37046165196
John F. Kennedy International Airport,Philadelphia International Airport,-1
John F. Kennedy International Airport,Salt Lake City International Airport,3151.697953411049
John F. Kennedy International Airport,Ronald Reagan Washington National Airport,342.55277419890336
John F. Kennedy International Airport,San Diego International Airport,3863.7583674524035
John F. Kennedy International Airport,Baltimore/Washington International Airport,295.3979800549508
John F. Kennedy International Airport,Tampa International Airport,1609.6625593985282
John F. Kennedy International Airport,Austin-Bergstrom International Airport,2421.1076362442163
John F. Kennedy International Airport,Washington Dulles International Airport,366.0753438588152
John F. Kennedy International Airport,Nashville International Airport,1224.4443746258805
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,5992.592952149281
Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,2842.9116448536824
Harry Reid International Airport,Dallas/Fort Worth International Airport,1708.8632563108256
Harry Reid International Airport,Denver International Airport,1014.1049638769264
Harry Reid International Airport,O'Hare International Airport,2460.2477759377934
Harry Reid International Airport,Los Angeles International Airport,380.23321023628796
Harry Reid International Airport,John F. Kennedy International Airport,3671.394035030733
Harry Reid International Airport,Orlando International Airport,3327.8309369285066
Harry Reid International Airport,Miami International Airport,3553.6428500821107
Harry Reid International Airport,Charlotte Douglas International Airport,3121.713801744472
Harry Reid International Airport,Seattle-Tacoma International Airport,1387.6619353071926
Harry Reid International Airport,Phoenix Sky Harbor International Airport,412.105184655371
Harry Reid International Airport,Newark Liberty International Airport,3636.4096895836346
Harry Reid International Airport,San Francisco International Airport,664.32425640889
Harry Reid International Airport,George Bush Intercontinental Airport,1981.6419501707326
Harry Reid International Airport,Logan International Airport,3891.8741922814947
Harry Reid International Airport,Fort Lauderdale-Hollywood International Airport,3550.72276794132
Harry Reid International Airport,Minneapolis-Saint Paul International Airport,2110.015553195638
Harry Reid International Airport,LaGuardia Airport,3661.7844205536408
Harry Reid International Airport,Detroit Metropolitan Airport,2846.2844748774096
Harry Reid International Airport,Philadelphia International Airport,3552.6133805636773
Harry Reid International Airport,Salt Lake City International Airport,593.3271505110406
Harry Reid International Airport,Ronald Reagan Washington National Airport,3407.310740087451
Harry Reid International Airport,San Diego International Airport,417.1274312013254
Harry Reid International Airport,Baltimore/Washington International Airport,3435.8964891505293
Harry Reid International Airport,Tampa International Airport,3236.660584712723
Harry Reid International Airport,Austin-Bergstrom International Airport,1766.8931138884946
Harry Reid International Airport,Washington Dulles International Airport,3368.8881341098345
Harry Reid International Airport,Nashville International Airport,2580.5735802967647
Harry Reid International Airport,Paris Charles de Gaulle Airport,9088.553844488913
Orlando International Airport,Hartsfield-Jackson Atlanta International Airport,649.966862351454
Orlando International Airport,Dallas/Fort Worth International Airport,1573.443359946531
Orlando International Airport,Denver International Airport,2461.506063592762
Orlando International Airport,O'Hare International Airport,1610.8251844701751
Orlando International Airport,Los Angeles International Airport,3509.303300644665
Orlando International Airport,John F. Kennedy International Airport,1534.5095606671903
Orlando International Airport,Harry Reid International Airport,3231.214747463129
Orlando International Airport,Miami International Airport,310.4627398990814
Orlando International Airport,Charlotte Douglas International Airport,759.1822809771102
Orlando International Airport,Seattle-Tacoma International Airport,4033.627300504417
Orlando International Airport,Phoenix Sky Harbor International Airport,2933.1672702471687
Orlando International Airport,Newark Liberty International Airport,1523.665527181615
Orlando International Airport,San Francisco International Airport,3864.5652061193377
Orlando International Airport,George Bush Intercontinental Airport,1365.088431081358
Orlando International Airport,Logan International Airport,1823.1402542360718
Orlando International Airport,Fort Lauderdale-Hollywood International Airport,286.08737975948463
Orlando International Airport,Minneapolis-Saint Paul International Airport,2093.0395072159135
Orlando International Airport,LaGuardia Airport,1543.6961687146884
Orlando International Airport,Detroit Metropolitan Airport,1535.2343283533985
Orlando International Airport,Philadelphia International Airport,1399.377066978588
Orlando International Airport,Salt Lake City International Airport,3064.119108273761
Orlando International Airport,Ronald Reagan Washington National Airport,1232.6397369992656
Orlando International Airport,San Diego International Airport,3402.6608883816143
Orlando International Airport,Baltimore/Washington International Airport,1278.456402034132
Orlando International Airport,Tampa International Airport,-1
Orlando International Airport,Austin-Bergstrom International Airport,1586.96740653072
Orlando International Airport,Washington Dulles International Airport,1231.438874605194
Orlando International Airport,Nashville International Airport,990.0514553201806
Orlando International Airport,Paris Charles de Gaulle Airport,7482.739071022512
Miami International Airport,Hartsfield-Jackson Atlanta International Airport,956.246610288182
Miami International Airport,Dallas/Fort Worth International Airport,1790.8087838602175
Miami International Airport,Denver International Airport,2718.412590446279
Miami International Airport,O'Hare International Airport,1915.900090987376
Miami International Airport,Los Angeles International Airport,3704.117514076833
Miami International Airport,John F. Kennedy International Airport,1772.9140024372591
Miami International Airport,Harry Reid International Airport,3443.683331073564
Miami International Airport,Orlando International Airport,309.59928657860144
Miami International Airport,Charlotte Douglas International Airport,1045.556600180891
Miami International Airport,Seattle-Tacoma International Airport,4298.596261881623
Miami International Airport,Phoenix Sky Harbor International Airport,3127.3789535336746
Miami International Airport,Newark Liberty International Airport,1766.1800637085069
Miami International Airport,San Francisco International Airport,4081.9502948199975
Miami International Airport,George Bush Intercontinental Airport,1541.5200279046858
Miami International Airport,Logan International Airport,2048.404925636925
Miami International Airport,Fort Lauderdale-Hollywood International Airport,-1
Miami International Airport,Minneapolis-Saint Paul International Airport,2394.6444949940983
Miami International Airport,LaGuardia Airport,1783.8177431652184
Miami International Airport,Detroit Metropolitan Airport,1833.816582434189
Miami International Airport,Philadelphia International Airport,1647.6539160102418
Miami International Airport,Salt Lake City International Airport,3311.7176596144545
Miami International Airport,Ronald Reagan Washington National Airport,1494.6114038397002
Miami International Airport,San Diego International Airport,3588.666233799585
Miami International Airport,Baltimore/Washington International Airport,1537.936520427306
