Origin Airport,Destination Airport,Flight Time (Minutes)
John F. Kennedy International Airport,Salt Lake City International Airport,313.45148947068424
John F. Kennedy International Airport,Ronald Reagan Washington National Airport,83.10775323229187
John F. Kennedy International Airport,San Diego International Airport,368.5645246132039
John F. Kennedy International Airport,Baltimore/Washington International Airport,72.99918197548888
John F. Kennedy International Airport,Tampa International Airport,187.64008540671654
John F. Kennedy International Airport,Austin-Bergstrom International Airport,256.9042512998767
John F. Kennedy International Airport,Washington Dulles International Airport,84.92838555891043
John F. Kennedy International Airport,Nashville International Airport,157.8244364305054
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,533.3350033049126
Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,291.5516203872967
Harry Reid International Airport,Dallas/Fort Worth International Airport,197.3181579231482
Harry Reid International Airport,Denver International Airport,143.54429627965754
Harry Reid International Airport,O'Hare International Airport,262.242924876779
Harry Reid International Airport,Los Angeles International Airport,86.0241956500461
Harry Reid International Airport,John F. Kennedy International Airport,353.67564439480833
Harry Reid International Airport,Orlando International Airport,327.08407333426453
Harry Reid International Airport,Miami International Airport,344.5617755907354
Harry Reid International Airport,Charlotte Douglas International Airport,311.13073469772934
Harry Reid International Airport,Seattle-Tacoma International Airport,170.45737456373388
Harry Reid International Airport,Phoenix Sky Harbor International Airport,88.49106673511443
Harry Reid International Airport,Newark Liberty International Airport,350.96787771933634
Harry Reid International Airport,San Francisco International Airport,114.47148610411296
Harry Reid International Airport,George Bush Intercontinental Airport,216.43105992468898
Harry Reid International Airport,Logan International Airport,370.7406720457961
Harry Reid International Airport,Fort Lauderdale-Hollywood International Airport,344.33576304113865
Harry Reid International Airport,Minneapolis-Saint Paul International Airport,226.36709731051758
Harry Reid International Airport,LaGuardia Airport,352.9318661845071
Harry Reid International Airport,Detroit Metropolitan Airport,289.8126753426935
Harry Reid International Airport,Philadelphia International Airport,344.4820952874511
Harry Reid International Airport,Salt Lake City International Airport,108.97635406867568
Harry Reid International Airport,Ronald Reagan Washington National Airport,333.2357608852664
Harry Reid International Airport,San Diego International Airport,88.87978550802113
Harry Reid International Airport,Baltimore/Washington International Airport,335.4482801625944
Harry Reid International Airport,Tampa International Airport,320.02754452499335
Harry Reid International Airport,Austin-Bergstrom International Airport,199.80963296785944
Harry Reid International Airport,Washington Dulles International Airport,330.2618749736862
Harry Reid International Airport,Nashville International Airport,269.24681662902134
Harry Reid International Airport,Paris Charles de Gaulle Airport,772.9604593683516
Orlando International Airport,Hartsfield-Jackson Atlanta International Airport,115.36023269409468
Orlando International Airport,Dallas/Fort Worth International Airport,186.8367417958808
Orlando International Airport,Denver International Airport,262.03106456214806
Orlando International Airport,O'Hare International Airport,190.0393228673703
Orlando International Airport,Los Angeles International Airport,341.1299219191065
Orlando International Airport,John F. Kennedy International Airport,181.8232898392755
Orlando International Airport,Harry Reid International Airport,319.6060400939102
Orlando International Airport,Miami International Airport,74.16518505939992
Orlando International Airport,Charlotte Douglas International Airport,121.81343847007426
Orlando International Airport,Seattle-Tacoma International Airport,381.7122748494279
Orlando International Airport,Phoenix Sky Harbor International Airport,296.5373499069164
Orlando International Airport,Newark Liberty International Airport,180.98396836206382
