source airport, destination airport, distance (weighted km), number of passengers, aircraft type, expected time, ticket cost, net profit
Miami International Airport,Fort Lauderdale-Hollywood International Airport,-1,6,Boeing 737-600,53.1974960023467,111.84892862286735,-3321.91318009916
Miami International Airport,Fort Lauderdale-Hollywood International Airport,-1,6,Boeing 767-800,53.1974960023467,70.39256507575757,-3568.9030493409086
Miami International Airport,Fort Lauderdale-Hollywood International Airport,-1,6,Airbus A200-100,51.09487227845193,98.59881799913363,-3401.6592209701103
Miami International Airport,Fort Lauderdale-Hollywood International Airport,-1,6,Airbus A220-300,51.09487227845193,83.21192277493687,-3494.9007565473485
Miami International Airport,Minneapolis-Saint Paul International Airport,2394.6444949940983,8,Boeing 737-600,230.06834169529685,581.1300621058657,-16097.302720332478
Miami International Airport,Minneapolis-Saint Paul International Airport,2394.6444949940983,8,Boeing 767-800,230.06834169529685,439.73419790959895,-21415.055438197465
Miami International Airport,Minneapolis-Saint Paul International Airport,2394.6444949940983,8,Airbus A200-100,241.82545032238735,497.7469685704429,-16176.776478539394
Miami International Airport,Minneapolis-Saint Paul International Airport,2394.6444949940983,8,Airbus A220-300,241.82545032238735,374.06845863158696,-14962.738345263479
Miami International Airport,LaGuardia Airport,1783.8177431652184,14,Boeing 737-600,188.4588899358363,461.4756346401156,-10014.021271690506
Miami International Airport,LaGuardia Airport,1783.8177431652184,14,Boeing 767-800,188.4588899358363,345.5617318485919,-14755.485949934871
Miami International Airport,LaGuardia Airport,1783.8177431652184,14,Airbus A200-100,196.55666930740117,395.97461928345984,-10493.327411011687
Miami International Airport,LaGuardia Airport,1783.8177431652184,14,Airbus A220-300,196.55666930740117,299.9076416085439,-10196.859814690491
Miami International Airport,Detroit Metropolitan Airport,1833.816582434189,9,Boeing 737-600,191.86480541737382,471.26987248049875,-12582.905595229315
Miami International Airport,Detroit Metropolitan Airport,1833.816582434189,9,Boeing 767-800,191.86480541737382,353.27015977852307,-16850.98662143555
Miami International Airport,Detroit Metropolitan Airport,1833.816582434189,9,Airbus A200-100,200.26211688168257,404.3051308708943,-12735.61162243317
Miami International Airport,Detroit Metropolitan Airport,1833.816582434189,9,Airbus A220-300,200.26211688168257,305.9780286033647,-11933.143115531224
Miami International Airport,Philadelphia International Airport,1647.6539160102418,13,Boeing 737-600,179.18342487078343,434.80259726741986,-9870.01895797043
Miami International Airport,Philadelphia International Airport,1647.6539160102418,13,Boeing 767-800,179.18342487078343,324.56906354600727,-14183.668076960515
Miami International Airport,Philadelphia International Airport,1647.6539160102418,13,Airbus A200-100,186.46547658346515,373.287805819614,-10265.414660039387
Miami International Airport,Philadelphia International Airport,1647.6539160102418,13,Airbus A220-300,186.46547658346515,283.37591532025846,-9918.157036209046
Miami International Airport,Salt Lake City International Airport,3311.7176596144545,3,Boeing 737-600,299.37916761556664,760.7748863187927,-24877.33878262452
Miami International Airport,Salt Lake City International Airport,3311.7176596144545,3,Boeing 767-800,299.37916761556664,581.1213280771804,-31206.215317744583
Miami International Airport,Salt Lake City International Airport,3311.7176596144545,3,Airbus A200-100,316.38423616673447,650.5442881901449,-24395.410807130436
Miami International Airport,Salt Lake City International Airport,3311.7176596144545,3,Airbus A220-300,316.38423616673447,485.41082363855725,-21843.487063735076
Miami International Airport,Ronald Reagan Washington National Airport,1494.6114038397002,4,Boeing 737-600,168.75818562210893,404.82320602946646,-12832.895631134086
Miami International Airport,Ronald Reagan Washington National Airport,1494.6114038397002,4,Boeing 767-800,168.75818562210893,300.97417229391425,-15861.338879889281
