source airport,destination airport,company flight demand
Denver International Airport,Philadelphia International Airport,14
Denver International Airport,Salt Lake City International Airport,3
Denver International Airport,Ronald Reagan Washington National Airport,5
Denver International Airport,San Diego International Airport,7
Denver International Airport,Baltimore/Washington International Airport,5
Denver International Airport,Tampa International Airport,7
Denver International Airport,Austin-Bergstrom International Airport,5
Denver International Airport,Washington Dulles International Airport,5
Denver International Airport,Nashville International Airport,4
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,45
O'Hare International Airport,Dallas/Fort Worth International Airport,57
O'Hare International Airport,Denver International Airport,22
O'Hare International Airport,Los Angeles International Airport,136
O'Hare International Airport,John F. Kennedy International Airport,50
O'Hare International Airport,Harry Reid International Airport,17
O'Hare International Airport,Orlando International Airport,20
O'Hare International Airport,Miami International Airport,23
O'Hare International Airport,Charlotte Douglas International Airport,20
O'Hare International Airport,Seattle-Tacoma International Airport,30
O'Hare International Airport,Phoenix Sky Harbor International Airport,36
O'Hare International Airport,Newark Liberty International Airport,50
O'Hare International Airport,San Francisco International Airport,52
O'Hare International Airport,George Bush Intercontinental Airport,53
O'Hare International Airport,Logan International Airport,37
O'Hare International Airport,Fort Lauderdale-Hollywood International Airport,23
O'Hare International Airport,Minneapolis-Saint Paul International Airport,27
O'Hare International Airport,LaGuardia Airport,50
O'Hare International Airport,Detroit Metropolitan Airport,32
O'Hare International Airport,Philadelphia International Airport,46
O'Hare International Airport,Salt Lake City International Airport,9
O'Hare International Airport,Ronald Reagan Washington National Airport,16
O'Hare International Airport,San Diego International Airport,24
O'Hare International Airport,Baltimore/Washington International Airport,16
O'Hare International Airport,Tampa International Airport,24
O'Hare International Airport,Austin-Bergstrom International Airport,18
O'Hare International Airport,Washington Dulles International Airport,16
O'Hare International Airport,Nashville International Airport,15
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,96
Los Angeles International Airport,Dallas/Fort Worth International Airport,119
Los Angeles International Airport,Denver International Airport,46
Los Angeles International Airport,O'Hare International Airport,150
Los Angeles International Airport,John F. Kennedy International Airport,105
Los Angeles International Airport,Harry Reid International Airport,35
Los Angeles International Airport,Orlando International Airport,42
Los Angeles International Airport,Miami International Airport,48
Los Angeles International Airport,Charlotte Douglas International Airport,41
Los Angeles International Airport,Seattle-Tacoma International Airport,63
Los Angeles International Airport,Phoenix Sky Harbor International Airport,76
Los Angeles International Airport,Newark Liberty International Airport,105
Los Angeles International Airport,San Francisco International Airport,110
Los Angeles International Airport,George Bush Intercontinental Airport,111
Los Angeles International Airport,Logan International Airport,77
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,48
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,58
Los Angeles International Airport,LaGuardia Airport,105
Los Angeles International Airport,Detroit Metropolitan Airport,68
Los Angeles International Airport,Philadelphia International Airport,97
Los Angeles International Airport,Salt Lake City International Airport,20
Los Angeles International Airport,Ronald Reagan Washington National Airport,33
Los Angeles International Airport,Baltimore/Washington International Airport,33
Los Angeles International Airport,Tampa International Airport,49
Los Angeles International Airport,Austin-Bergstrom International Airport,38
Los Angeles International Airport,Washington Dulles International Airport,33
Los Angeles International Airport,Nashville International Airport,32
John F. Kennedy International Airport,Hartsfield-Jackson Atlanta International Airport,36
John F. Kennedy International Airport,Dallas/Fort Worth International Airport,45
John F. Kennedy International Airport,Denver International Airport,18
John F. Kennedy International Airport,O'Hare International Airport,57
John F. Kennedy International Airport,Los Angeles International Airport,109
John F. Kennedy International Airport,Harry Reid International Airport,13
John F. Kennedy International Airport,Orlando International Airport,16
John F. Kennedy International Airport,Miami International Airport,18
John F. Kennedy International Airport,Charlotte Douglas International Airport,16
John F. Kennedy International Airport,Seattle-Tacoma International Airport,24
John F. Kennedy International Airport,Phoenix Sky Harbor International Airport,29
John F. Kennedy International Airport,San Francisco International Airport,42
John F. Kennedy International Airport,George Bush Intercontinental Airport,42
John F. Kennedy International Airport,Logan International Airport,29
John F. Kennedy International Airport,Fort Lauderdale-Hollywood International Airport,18
John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,22
John F. Kennedy International Airport,Detroit Metropolitan Airport,26
John F. Kennedy International Airport,Salt Lake City International Airport,7
John F. Kennedy International Airport,Ronald Reagan Washington National Airport,13
John F. Kennedy International Airport,San Diego International Airport,19
John F. Kennedy International Airport,Baltimore/Washington International Airport,13
John F. Kennedy International Airport,Tampa International Airport,19
John F. Kennedy International Airport,Austin-Bergstrom International Airport,14
John F. Kennedy International Airport,Washington Dulles International Airport,13
