source airport,destination airport,company flight demand
LaGuardia Airport,George Bush Intercontinental Airport,42
LaGuardia Airport,Logan International Airport,29
LaGuardia Airport,Fort Lauderdale-Hollywood International Airport,18
LaGuardia Airport,Minneapolis-Saint Paul International Airport,22
LaGuardia Airport,Detroit Metropolitan Airport,26
LaGuardia Airport,Salt Lake City International Airport,7
LaGuardia Airport,Ronald Reagan Washington National Airport,13
LaGuardia Airport,San Diego International Airport,19
LaGuardia Airport,Baltimore/Washington International Airport,13
LaGuardia Airport,Tampa International Airport,19
LaGuardia Airport,Austin-Bergstrom International Airport,14
LaGuardia Airport,Washington Dulles International Airport,13
LaGuardia Airport,Nashville International Airport,12
Detroit Metropolitan Airport,Hartsfield-Jackson Atlanta International Airport,20
Detroit Metropolitan Airport,Dallas/Fort Worth International Airport,25
Detroit Metropolitan Airport,Denver International Airport,10
Detroit Metropolitan Airport,O'Hare International Airport,31
Detroit Metropolitan Airport,Los Angeles International Airport,59
Detroit Metropolitan Airport,John F. Kennedy International Airport,22
Detroit Metropolitan Airport,Harry Reid International Airport,7
Detroit Metropolitan Airport,Orlando International Airport,9
Detroit Metropolitan Airport,Miami International Airport,10
Detroit Metropolitan Airport,Charlotte Douglas International Airport,9
Detroit Metropolitan Airport,Seattle-Tacoma International Airport,13
Detroit Metropolitan Airport,Phoenix Sky Harbor International Airport,16
Detroit Metropolitan Airport,Newark Liberty International Airport,22
Detroit Metropolitan Airport,San Francisco International Airport,23
Detroit Metropolitan Airport,George Bush Intercontinental Airport,23
Detroit Metropolitan Airport,Logan International Airport,16
Detroit Metropolitan Airport,Fort Lauderdale-Hollywood International Airport,10
Detroit Metropolitan Airport,Minneapolis-Saint Paul International Airport,12
Detroit Metropolitan Airport,LaGuardia Airport,22
Detroit Metropolitan Airport,Philadelphia International Airport,20
Detroit Metropolitan Airport,Salt Lake City International Airport,4
Detroit Metropolitan Airport,Ronald Reagan Washington National Airport,7
Detroit Metropolitan Airport,San Diego International Airport,11
Detroit Metropolitan Airport,Baltimore/Washington International Airport,7
Detroit Metropolitan Airport,Tampa International Airport,10
Detroit Metropolitan Airport,Austin-Bergstrom International Airport,8
Detroit Metropolitan Airport,Washington Dulles International Airport,7
Detroit Metropolitan Airport,Nashville International Airport,7
Philadelphia International Airport,Hartsfield-Jackson Atlanta International Airport,36
Philadelphia International Airport,Dallas/Fort Worth International Airport,45
Philadelphia International Airport,Denver International Airport,17
Philadelphia International Airport,O'Hare International Airport,56
Philadelphia International Airport,Los Angeles International Airport,107
Philadelphia International Airport,Harry Reid International Airport,13
Philadelphia International Airport,Orlando International Airport,16
Philadelphia International Airport,Miami International Airport,18
Philadelphia International Airport,Charlotte Douglas International Airport,16
Philadelphia International Airport,Seattle-Tacoma International Airport,24
Philadelphia International Airport,Phoenix Sky Harbor International Airport,28
Philadelphia International Airport,San Francisco International Airport,41
Philadelphia International Airport,George Bush Intercontinental Airport,42
Philadelphia International Airport,Logan International Airport,29
Philadelphia International Airport,Fort Lauderdale-Hollywood International Airport,18
Philadelphia International Airport,Minneapolis-Saint Paul International Airport,22
Philadelphia International Airport,Detroit Metropolitan Airport,26
Philadelphia International Airport,Salt Lake City International Airport,7
Philadelphia International Airport,San Diego International Airport,19
Philadelphia International Airport,Tampa International Airport,19
Philadelphia International Airport,Austin-Bergstrom International Airport,14
Philadelphia International Airport,Nashville International Airport,12
Salt Lake City International Airport,Hartsfield-Jackson Atlanta International Airport,6
Salt Lake City International Airport,Dallas/Fort Worth International Airport,7
Salt Lake City International Airport,Denver International Airport,3
Salt Lake City International Airport,O'Hare International Airport,9
Salt Lake City International Airport,Los Angeles International Airport,17
Salt Lake City International Airport,John F. Kennedy International Airport,6
Salt Lake City International Airport,Harry Reid International Airport,2
Salt Lake City International Airport,Orlando International Airport,2
Salt Lake City International Airport,Miami International Airport,3
Salt Lake City International Airport,Charlotte Douglas International Airport,2
Salt Lake City International Airport,Seattle-Tacoma International Airport,4
Salt Lake City International Airport,Phoenix Sky Harbor International Airport,4
Salt Lake City International Airport,Newark Liberty International Airport,6
Salt Lake City International Airport,San Francisco International Airport,6
Salt Lake City International Airport,George Bush Intercontinental Airport,6
Salt Lake City International Airport,Logan International Airport,4
Salt Lake City International Airport,Fort Lauderdale-Hollywood International Airport,3
Salt Lake City International Airport,Minneapolis-Saint Paul International Airport,3
Salt Lake City International Airport,LaGuardia Airport,6
Salt Lake City International Airport,Detroit Metropolitan Airport,4
Salt Lake City International Airport,Philadelphia International Airport,6
Salt Lake City International Airport,Ronald Reagan Washington National Airport,2
Salt Lake City International Airport,San Diego International Airport,3
Salt Lake City International Airport,Baltimore/Washington International Airport,2
Salt Lake City International Airport,Tampa International Airport,3
Salt Lake City International Airport,Austin-Bergstrom International Airport,2
Salt Lake City International Airport,Washington Dulles International Airport,2
Salt Lake City International Airport,Nashville International Airport,2
Ronald Reagan Washington National Airport,Hartsfield-Jackson Atlanta International Airport,10
Ronald Reagan Washington National Airport,Dallas/Fort Worth International Airport,13
Ronald Reagan Washington National Airport,Denver International Airport,5
Ronald Reagan Washington National Airport,O'Hare International Airport,16
Ronald Reagan Washington National Airport,Los Angeles International Airport,31
Ronald Reagan Washington National Airport,John F. Kennedy International Airport,11
Ronald Reagan Washington National Airport,Harry Reid International Airport,4
Ronald Reagan Washington National Airport,Orlando International Airport,5
Ronald Reagan Washington National Airport,Miami International Airport,5
Ronald Reagan Washington National Airport,Charlotte Douglas International Airport,4
Ronald Reagan Washington National Airport,Seattle-Tacoma International Airport,7
Ronald Reagan Washington National Airport,Phoenix Sky Harbor International Airport,8
Ronald Reagan Washington National Airport,Newark Liberty International Airport,11
Ronald Reagan Washington National Airport,San Francisco International Airport,12
Ronald Reagan Washington National Airport,George Bush Intercontinental Airport,12
Ronald Reagan Washington National Airport,Logan International Airport,8
Ronald Reagan Washington National Airport,Fort Lauderdale-Hollywood International Airport,5
Ronald Reagan Washington National Airport,Minneapolis-Saint Paul International Airport,6
Ronald Reagan Washington National Airport,LaGuardia Airport,11
Ronald Reagan Washington National Airport,Detroit Metropolitan Airport,7
Ronald Reagan Washington National Airport,Salt Lake City International Airport,2
Ronald Reagan Washington National Airport,San Diego International Airport,5
Ronald Reagan Washington National Airport,Tampa International Airport,5
Ronald Reagan Washington National Airport,Austin-Bergstrom International Airport,4
Ronald Reagan Washington National Airport,Nashville International Airport,3
San Diego International Airport,Hartsfield-Jackson Atlanta International Airport,17
San Diego International Airport,Dallas/Fort Worth International Airport,21
San Diego International Airport,Denver International Airport,8
San Diego International Airport,O'Hare International Airport,27
San Diego International Airport,John F. Kennedy International Airport,19
San Diego International Airport,Harry Reid International Airport,6
San Diego International Airport,Orlando International Airport,7
San Diego International Airport,Miami International Airport,9
San Diego International Airport,Charlotte Douglas International Airport,7
San Diego International Airport,Seattle-Tacoma International Airport,11
San Diego International Airport,Phoenix Sky Harbor International Airport,13
San Diego International Airport,Newark Liberty International Airport,19
San Diego International Airport,San Francisco International Airport,20
San Diego International Airport,George Bush Intercontinental Airport,20
San Diego International Airport,Logan International Airport,14
San Diego International Airport,Fort Lauderdale-Hollywood International Airport,9
San Diego International Airport,Minneapolis-Saint Paul International Airport,10
San Diego International Airport,LaGuardia Airport,19
San Diego International Airport,Detroit Metropolitan Airport,12
San Diego International Airport,Philadelphia International Airport,17
San Diego International Airport,Salt Lake City International Airport,3
San Diego International Airport,Ronald Reagan Washington National Airport,6
San Diego International Airport,Baltimore/Washington International Airport,6
San Diego International Airport,Tampa International Airport,9
San Diego International Airport,Austin-Bergstrom International Airport,7
San Diego International Airport,Washington Dulles International Airport,6
San Diego International Airport,Nashville International Airport,6
Baltimore/Washington International Airport,Hartsfield-Jackson Atlanta International Airport,10
Baltimore/Washington International Airport,Dallas/Fort Worth International Airport,13
Baltimore/Washington International Airport,Denver International Airport,5
Baltimore/Washington International Airport,O'Hare International Airport,16
Baltimore/Washington International Airport,Los Angeles International Airport,31
Baltimore/Washington International Airport,John F. Kennedy International Airport,11
Baltimore/Washington International Airport,Harry Reid International Airport,4
Baltimore/Washington International Airport,Orlando International Airport,5
Baltimore/Washington International Airport,Miami International Airport,5
Baltimore/Washington International Airport,Charlotte Douglas International Airport,4
Baltimore/Washington International Airport,Seattle-Tacoma International Airport,7
Baltimore/Washington International Airport,Phoenix Sky Harbor International Airport,8
Baltimore/Washington International Airport,Newark Liberty International Airport,11
Baltimore/Washington International Airport,San Francisco International Airport,12
Baltimore/Washington International Airport,George Bush Intercontinental Airport,12
Baltimore/Washington International Airport,Logan International Airport,8
Baltimore/Washington International Airport,Fort Lauderdale-Hollywood International Airport,5
Baltimore/Washington International Airport,Minneapolis-Saint Paul International Airport,6
Baltimore/Washington International Airport,LaGuardia Airport,11
Baltimore/Washington International Airport,Detroit Metropolitan Airport,7
Baltimore/Washington International Airport,Salt Lake City International Airport,2
Baltimore/Washington International Airport,San Diego International Airport,5
Baltimore/Washington International Airport,Tampa International Airport,5
Baltimore/Washington International Airport,Austin-Bergstrom International Airport,4
Baltimore/Washington International Airport,Nashville International Airport,3
Tampa International Airport,Hartsfield-Jackson Atlanta International Airport,15
Tampa International Airport,Dallas/Fort Worth International Airport,18
Tampa International Airport,Denver International Airport,7
Tampa International Airport,O'Hare International Airport,23
Tampa International Airport,Los Angeles International Airport,44
Tampa International Airport,John F. Kennedy International Airport,16
Tampa International Airport,Harry Reid International Airport,5
Tampa International Airport,Miami International Airport,7
Tampa International Airport,Charlotte Douglas International Airport,6
Tampa International Airport,Seattle-Tacoma International Airport,10
Tampa International Airport,Phoenix Sky Harbor International Airport,12
Tampa International Airport,Newark Liberty International Airport,16
Tampa International Airport,San Francisco International Airport,17
Tampa International Airport,George Bush Intercontinental Airport,17
Tampa International Airport,Logan International Airport,12
Tampa International Airport,Fort Lauderdale-Hollywood International Airport,7
Tampa International Airport,Minneapolis-Saint Paul International Airport,9
Tampa International Airport,LaGuardia Airport,16
Tampa International Airport,Detroit Metropolitan Airport,10
Tampa International Airport,Philadelphia International Airport,15
Tampa International Airport,Salt Lake City International Airport,3
Tampa International Airport,Ronald Reagan Washington National Airport,5
Tampa International Airport,San Diego International Airport,8
Tampa International Airport,Baltimore/Washington International Airport,5
Tampa International Airport,Austin-Bergstrom International Airport,6
Tampa International Airport,Washington Dulles International Airport,5
Tampa International Airport,Nashville International Airport,5
Austin-Bergstrom International Airport,Hartsfield-Jackson Atlanta International Airport,11
Austin-Bergstrom International Airport,Dallas/Fort Worth International Airport,14
Austin-Bergstrom International Airport,Denver International Airport,6
Austin-Bergstrom International Airport,O'Hare International Airport,18
Austin-Bergstrom International Airport,Los Angeles International Airport,34
Austin-Bergstrom International Airport,John F. Kennedy International Airport,13
Austin-Bergstrom International Airport,Harry Reid International Airport,4
Austin-Bergstrom International Airport,Orlando International Airport,5
Austin-Bergstrom International Airport,Miami International Airport,6
Austin-Bergstrom International Airport,Charlotte Douglas International Airport,5
Austin-Bergstrom International Airport,Seattle-Tacoma International Airport,7
Austin-Bergstrom International Airport,Phoenix Sky Harbor International Airport,9
Austin-Bergstrom International Airport,Newark Liberty International Airport,13
Austin-Bergstrom International Airport,San Francisco International Airport,13
Austin-Bergstrom International Airport,Logan International Airport,9
Austin-Bergstrom International Airport,Fort Lauderdale-Hollywood International Airport,6
Austin-Bergstrom International Airport,Minneapolis-Saint Paul International Airport,7
Austin-Bergstrom International Airport,LaGuardia Airport,13
Austin-Bergstrom International Airport,Detroit Metropolitan Airport,8
Austin-Bergstrom International Airport,Philadelphia International Airport,12
Austin-Bergstrom International Airport,Salt Lake City International Airport,2
Austin-Bergstrom International Airport,Ronald Reagan Washington National Airport,4
Austin-Bergstrom International Airport,San Diego International Airport,6
Austin-Bergstrom International Airport,Baltimore/Washington International Airport,4
Austin-Bergstrom International Airport,Tampa International Airport,6
Austin-Bergstrom International Airport,Washington Dulles International Airport,4
Austin-Bergstrom International Airport,Nashville International Airport,4
Washington Dulles International Airport,Hartsfield-Jackson Atlanta International Airport,10
Washington Dulles International Airport,Dallas/Fort Worth International Airport,13
Washington Dulles International Airport,Denver International Airport,5
Washington Dulles International Airport,O'Hare International Airport,16
Washington Dulles International Airport,Los Angeles International Airport,31
Washington Dulles International Airport,John F. Kennedy International Airport,11
Washington Dulles International Airport,Harry Reid International Airport,4
Washington Dulles International Airport,Orlando International Airport,5
Washington Dulles International Airport,Miami International Airport,5
Washington Dulles International Airport,Charlotte Douglas International Airport,4
Washington Dulles International Airport,Seattle-Tacoma International Airport,7
Washington Dulles International Airport,Phoenix Sky Harbor International Airport,8
Washington Dulles International Airport,Newark Liberty International Airport,11
Washington Dulles International Airport,San Francisco International Airport,12
Washington Dulles International Airport,George Bush Intercontinental Airport,12
Washington Dulles International Airport,Logan International Airport,8
Washington Dulles International Airport,Fort Lauderdale-Hollywood International Airport,5
Washington Dulles International Airport,Minneapolis-Saint Paul International Airport,6
Washington Dulles International Airport,LaGuardia Airport,11
Washington Dulles International Airport,Detroit Metropolitan Airport,7
Washington Dulles International Airport,Salt Lake City International Airport,2
Washington Dulles International Airport,San Diego International Airport,5
Washington Dulles International Airport,Tampa International Airport,5
Washington Dulles International Airport,Austin-Bergstrom International Airport,4
Washington Dulles International Airport,Nashville International Airport,3
Nashville International Airport,Hartsfield-Jackson Atlanta International Airport,9
Nashville International Airport,Dallas/Fort Worth International Airport,12
Nashville International Airport,Denver International Airport,4
Nashville International Airport,O'Hare International Airport,15
Nashville International Airport,Los Angeles International Airport,28
Nashville International Airport,John F. Kennedy International Airport,10
Nashville International Airport,Harry Reid International Airport,3
Nashville International Airport,Orlando International Airport,4
Nashville International Airport,Miami International Airport,5
Nashville International Airport,Charlotte Douglas International Airport,4
Nashville International Airport,Seattle-Tacoma International Airport,6
Nashville International Airport,Phoenix Sky Harbor International Airport,7
Nashville International Airport,Newark Liberty International Airport,10
Nashville International Airport,San Francisco International Airport,11
Nashville International Airport,George Bush Intercontinental Airport,11
Nashville International Airport,Logan International Airport,7
Nashville International Airport,Fort Lauderdale-Hollywood International Airport,5
Nashville International Airport,Minneapolis-Saint Paul International Airport,6
Nashville International Airport,LaGuardia Airport,10
Nashville International Airport,Detroit Metropolitan Airport,7
Nashville International Airport,Philadelphia International Airport,9
Nashville International Airport,Salt Lake City International Airport,2
Nashville International Airport,Ronald Reagan Washington National Airport,3
Nashville International Airport,San Diego International Airport,5
Nashville International Airport,Baltimore/Washington International Airport,3
Nashville International Airport,Tampa International Airport,5
Nashville International Airport,Austin-Bergstrom International Airport,4
Nashville International Airport,Washington Dulles International Airport,3
