source airport,destination airport,distance (weighted in km),number of passengers for 2% market share (flight demand),Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons)
O'Hare International Airport,Minneapolis-Saint Paul International Airport,535.5462443355149,25,786.7225466254245,983.4031832817806,759.1182467438306,655.6021221878536
O'Hare International Airport,LaGuardia Airport,1184.8593887259594,45,1740.5697557418468,2175.7121946773086,1679.497132733361,1450.4747964515389
O'Hare International Airport,Detroit Metropolitan Airport,377.8559093723694,29,555.0739388486132,693.8424235607665,535.5976602925216,462.56161570717757
O'Hare International Airport,Philadelphia International Airport,1094.9977931505105,42,1608.5622137924895,2010.7027672406118,1552.1214343611741,1340.4685114937413
O'Hare International Airport,Salt Lake City International Airport,1990.549824755888,8,2924.136699454946,3655.1708743186828,2821.535411754773,2436.7805828791215
O'Hare International Airport,Ronald Reagan Washington National Airport,988.2914533850505,14,1451.809581784921,1814.761977231151,1400.8688947047485,1209.8413181541005
O'Hare International Airport,San Diego International Airport,2737.2287730255,22,4021.0152041732867,5026.269005216608,3879.926951395277,3350.8460034777386
O'Hare International Airport,Baltimore/Washington International Airport,1003.8602054906698,14,1474.6802272872715,1843.350284109089,1422.937061417543,1228.9001894060593
O'Hare International Airport,Tampa International Airport,1645.275213534039,21,2416.924998693995,3021.1562483674934,2332.120612774908,2014.1041655783288
O'Hare International Airport,Austin-Bergstrom International Airport,1564.8720438155492,16,2298.811974642877,2873.514968303596,2218.1519053571624,1915.6766455357306
O'Hare International Airport,Washington Dulles International Airport,950.2910233231909,14,1395.986587174584,1744.98323396823,1347.0046016596864,1163.3221559788199
O'Hare International Airport,Nashville International Airport,662.4252581786518,14,973.109029473131,1216.3862868414137,938.9648530003898,810.9241912276092
O'Hare International Airport,Paris Charles de Gaulle Airport,6870.918806148539,88,10093.445333626874,12616.80666703359,9739.289357008387,8411.20444468906
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,3173.234258449745,84,4661.511425486941,5826.889281858676,4497.9496210838915,3884.5928545724505
Los Angeles International Airport,Dallas/Fort Worth International Airport,2002.6676266796892,105,2941.937866188594,3677.4223327357417,2838.711976146889,2451.614888490494
Los Angeles International Airport,Denver International Airport,1394.8004799315813,41,2048.975223358445,2561.219029198056,1977.0813558721838,1707.4793527987038
Los Angeles International Airport,O'Hare International Airport,2840.304789264902,132,4172.434856256707,5215.543570320883,4026.033633230156,3477.0290468805883
Los Angeles International Airport,John F. Kennedy International Airport,4049.6806916897945,92,5949.01960471974,7436.2745058996725,5740.282074729574,4957.516337266448
Los Angeles International Airport,Harry Reid International Airport,381.5364247490968,31,560.4806510806552,700.600813850819,540.8146633234394,467.06720923387934
Los Angeles International Airport,Orlando International Airport,3623.5640012023414,37,5323.050117592004,6653.812646990005,5136.276429255443,4435.875097993337
Los Angeles International Airport,Miami International Airport,3831.650836215842,42,5628.731665156895,7035.914581446119,5431.232308484725,4690.609720964079
Los Angeles International Airport,Charlotte Douglas International Airport,3468.3138218293793,36,5094.98612167715,6368.732652096437,4916.214678811285,4245.821768064291
