,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Los Angeles International Airport,John F. Kennedy International Airport,Harry Reid International Airport,Orlando International Airport,Miami International Airport,Charlotte Douglas International Airport,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,San Francisco International Airport,George Bush Intercontinental Airport,Logan International Airport,Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia International Airport,Salt Lake City International Airport,Ronald Reagan Washington National Airport,San Diego International Airport,Baltimore/Washington International Airport,Tampa International Airport,Austin-Bergstrom International Airport,Washington Dulles International Airport,Nashville International Airport,Midway International Airport
Seattle-Tacoma International Airport,3508.803684413705,2670.925835634459,1646.9988987386816,2764.427312421379,1538.3988026541986,3890.665765311182,1396.420461279746,4109.480235986626,4384.959677314866,3664.0166564018305,0.0,1783.7258000722077,3858.2660252957417,1094.1008192847405,3015.9973629387255,4009.585734685552,4372.480929196684,2247.8529846370293,3876.7739946266797,3096.480867427383,3821.654359015232,1107.5320419381414,3742.162277555755,1694.0698723881671,3752.188314153123,4055.5641910595014,2850.630046713576,3705.106753407117,3179.880233235046,2785.2398241582036
Phoenix Sky Harbor International Airport,2551.6392461065325,1394.7067953383987,968.7640227390814,2315.5323858440966,595.2977911150913,3461.732662311127,411.34518643484915,2972.8634351699616,3172.5880682624133,2850.85826794763,1783.7258000722077,0.0,3428.382342366031,1047.7591118466376,1622.3111634790803,3697.3412201748165,3172.424568878009,2054.5607428781127,3454.0708234531226,2686.8748413109724,3336.1387946163322,818.4417820709721,3180.8580456511445,490.25417472215827,3213.126840053332,2876.0276833783614,1402.5855126091378,3144.6546097027253,2328.7452482433414,2322.087132541607
Newark Liberty International Airport,1200.6606569620972,2207.5134793678967,2579.0036285061824,1155.3560054353645,3944.791071565001,34.00330976470272,3578.8798930287776,1513.3784102927407,1752.3870658846733,851.5200851826226,3858.2660252957417,3428.382342366031,0.0,4122.644090424293,2252.1851298078855,322.5845350296071,1718.880355663559,1619.0970074871482,26.963342187776092,783.5174931015354,129.03309536284476,3163.660901538997,319.82257966444115,3899.662566388226,271.8172862847912,1608.9901711377245,2418.949694530405,341.30231354059805,1201.9800940344624,1141.6010067477303
San Francisco International Airport,3438.901698186316,2354.5967255591568,1554.573402914348,2967.3027499825844,544.0051582109608,4156.637276516931,666.318422910755,3934.081278080512,4159.66724566521,3691.006554371468,1094.1008192847405,1047.7591118466376,4122.644090424293,0.0,2630.1424821274577,4346.068528192576,4156.02373903988,2555.3061605230787,4145.907607476838,3341.520224940905,4052.42170277148,962.7172353762573,3925.5367735861373,719.6769367190553,3949.1001184063252,3848.775331874176,2419.4069146370052,3887.7170683214636,3164.5356429663198,2981.19347630897
George Bush Intercontinental Airport,1108.2951289841712,361.09224130782565,1387.9578214274168,1491.4479225446073,2217.362802591583,2280.042821347317,1964.3111298076838,1373.5625677873904,1552.3436930404753,1467.6450032855082,3015.9973629387255,1622.3111634790803,2252.1851298078855,2630.1424821274577,0.0,2569.650684410828,1553.6404694532166,1668.2339665591694,2278.993637090431,1732.1538787204931,2131.170752620138,1924.2877791909339,1943.0261437041875,2096.1130347350763,1987.5630824819557,1266.8327172388797,225.06546014325792,1915.1326664853627,1057.0771688963948,1479.0577182890888
Logan International Airport,1523.1615617564687,2512.4561578102043,2818.9696050898106,1392.57447497703,4197.373284349891,300.01609743040666,3826.1211246911,1808.4505887872022,2029.89746640251,1172.1177857601745,4009.585734685552,3697.3412201748165,322.5845350296071,4346.068528192576,2569.650684410828,0.0,1996.2464459341822,1805.1762473863919,296.91450965802255,1015.6643781029097,450.5163865761306,3383.571621497579,642.2005105716471,4161.050031168965,594.3487520899758,1910.1958079762803,2732.158492398835,663.7256258768069,1515.6942916870742,1382.646179216306
Fort Lauderdale-Hollywood International Airport,937.421828820098,1801.4607221694805,2742.1279105400363,1907.742706208627,3767.6750888929046,1725.4555554469648,3495.8319526711175,285.7207048667747,33.65120922823797,1020.3425167673258,4372.480929196684,3172.424568878009,1718.880355663559,4156.02373903988,1553.6404694532166,1996.2464459341822,0.0,2398.527163382519,1736.2084270379412,1820.2671988655266,1602.252890571535,3353.8308968624515,1451.7557486159633,3649.488616569412,1494.4001772023225,317.0742897058449,1777.5205679522642,1455.4845752867502,1279.3136975845343,1882.7711805705924
Minneapolis-Saint Paul International Airport,1461.2359061412055,1375.099731840945,1094.9426392994617,536.8407064785558,2470.8118524903084,1652.2345957512534,2090.3886105093957,2113.095154698186,2420.9700429925447,1497.0831092660878,2247.8529846370293,2054.5607428781127,1619.0970074871482,2555.3061605230787,1668.2339665591694,1805.1762473863919,2398.527163382519,0.0,1639.189685190948,848.6685226913451,1575.3509606221314,1594.6608566825214,1495.8622644133618,2467.1214333306793,1504.6459363753072,2107.0335064118403,1681.1174676157107,1459.148305500308,1120.2456498851825,560.5412448847252
LaGuardia Airport,1226.2546071796057,2234.4345153577156,2603.0404431670454,1178.6199410750037,3969.689935082777,16.73926923500026,3603.4616172859187,1533.138659097827,1769.7500634601743,876.1206617420511,3876.7739946266797,3454.0708234531226,26.963342187776092,4145.907607476838,2278.993637090431,296.91450965802255,1736.2084270379412,1639.189685190948,0.0,805.8729722403546,153.73480977232836,3186.5888410881716,345.2865376403826,3925.011186180634,297.49561280983517,1629.7451006156698,2445.889957280252,367.4638196717497,1228.9283200883906,1165.1107951191057
Detroit Metropolitan Airport,959.4391589171391,1588.9888485396516,1804.8488746570035,377.2167922368103,3181.7089142644236,817.371263456173,2810.798398477521,1545.9692848352286,1849.1752927891794,806.4920582164029,3096.480867427383,2686.8748413109724,783.5174931015354,3341.520224940905,1732.1538787204931,1015.6643781029097,1820.2671988655266,848.6685226913451,805.8729722403546,0.0,728.5716618641356,2381.2493864059375,651.8476278484327,3146.6600242339027,657.3145117261764,1586.5189716157524,1850.445102255937,616.2409832240024,735.8978321990484,367.01095339496845
