source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit per flight, percent full
Los Angeles International Airport,LaGuardia Airport,Airbus A220-300,27546.675246509745,573.8890676356197,25251.118975967263,0.575
Los Angeles International Airport,Detroit Metropolitan Airport,Boeing 737-600,26568.458977865175,744.214537195103,18084.41325384101,0.5042016806722689
Los Angeles International Airport,Detroit Metropolitan Airport,Boeing 767-800,32210.573722331475,568.0877199705728,1874.6894759028983,0.31746031746031744
Los Angeles International Airport,Detroit Metropolitan Airport,Airbus A200-100,25776.583224255875,636.4588450433549,12410.94747834542,0.4444444444444444
Los Angeles International Airport,Detroit Metropolitan Airport,Airbus A220-300,22807.04914822098,475.14685725460373,5701.762287055244,0.375
Los Angeles International Airport,Philadelphia International Airport,Boeing 737-600,31465.18947598679,881.3778564702183,43451.92832398176,0.7142857142857143
Los Angeles International Airport,Philadelphia International Airport,Boeing 767-800,38331.48684498349,676.0403323630246,19131.9414058736,0.4497354497354497
Los Angeles International Airport,Philadelphia International Airport,Airbus A200-100,30501.498617180245,753.1234226464258,33513.99230776595,0.6296296296296297
Los Angeles International Airport,Philadelphia International Airport,Airbus A220-300,26887.657896655663,560.1595395136596,20725.902962005406,0.53125
Los Angeles International Airport,San Diego International Airport,Boeing 737-600,3993.006751836364,111.84892862286735,1040.1950361926665,0.37815126050420167
Los Angeles International Airport,San Diego International Airport,Airbus A200-100,3993.252128964912,98.59881799913363,443.69468099610094,0.3333333333333333
Los Angeles International Airport,Tampa International Airport,Boeing 737-600,28649.400279484697,802.5042095093753,5858.280729418439,0.36134453781512604
Los Angeles International Airport,Tampa International Airport,Airbus A200-100,27784.509041608042,686.0372602866183,1715.0931507165478,0.31851851851851853
Los Angeles International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,70326.4448505705,1969.9284271868487,282290.74361587537,1.504201680672269
Los Angeles International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,86908.05606321312,1532.7699482048172,187457.76466544913,0.9470899470899471
Los Angeles International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,67999.20117160311,1678.9926215210644,232540.47808066744,1.325925925925926
Los Angeles International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,59272.037375475426,1234.8341119890713,161763.26867056833,1.11875
John F. Kennedy International Airport,O'Hare International Airport,Boeing 737-600,12272.956923944288,343.7803059928372,2853.3765397405496,0.3697478991596639
John F. Kennedy International Airport,O'Hare International Airport,Airbus A200-100,11982.677733630455,295.8685860155668,1035.5400510544841,0.32592592592592595
John F. Kennedy International Airport,Los Angeles International Airport,Boeing 737-600,31326.014604068503,877.4794006741879,43259.73445323747,0.7142857142857143
John F. Kennedy International Airport,Los Angeles International Airport,Boeing 767-800,38157.51825508563,672.972103264297,19045.110522379604,0.4497354497354497
John F. Kennedy International Airport,Los Angeles International Airport,Airbus A200-100,30367.20707410119,749.8075820765725,33366.43740240748,0.6296296296296297
John F. Kennedy International Airport,Los Angeles International Airport,Airbus A220-300,26771.678836723753,557.7433090984115,20636.502436641225,0.53125
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,45907.68965803817,1285.9296822979882,31248.091279841115,0.5042016806722689
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,56384.61207254772,994.437602690436,3281.644088878442,0.31746031746031744
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,44437.24440687894,1097.2159112809616,21395.710269978757,0.4444444444444444
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,38923.074715031806,810.897389896496,9730.768678757951,0.375
Miami International Airport,Los Angeles International Airport,Boeing 737-600,29903.8130032111,837.6418208182382,1926.5761878819503,0.31932773109243695
Seattle-Tacoma International Airport,Los Angeles International Airport,Boeing 737-600,14832.74337778281,415.4830077810311,5941.407011268746,0.42016806722689076
Seattle-Tacoma International Airport,Los Angeles International Airport,Airbus A200-100,14452.647118913239,356.85548441761085,3390.127101967304,0.37037037037037035
Seattle-Tacoma International Airport,Los Angeles International Airport,Airbus A220-300,13027.286148152341,271.40179475317376,542.8035895063458,0.3125
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Boeing 737-600,8151.933876671211,228.34548674149053,5548.79532781822,0.5042016806722689
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Boeing 767-800,9189.917345839014,162.07967100245176,534.8629143080907,0.31746031746031744
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Airbus A200-100,8006.2519862616955,197.68523422868384,3854.862067459335,0.4444444444444444
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Airbus A220-300,7459.944897226009,155.4155186922085,1864.9862243065018,0.375
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,68038.88202767677,1905.8510371898255,13912.71257148574,0.36134453781512604
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,65791.90371091617,1624.4914496522513,4061.2286241306283,0.31851851851851853
Newark Liberty International Airport,O'Hare International Airport,Boeing 737-600,12037.762777751359,337.19223467090643,2798.695547768524,0.3697478991596639
Newark Liberty International Airport,O'Hare International Airport,Airbus A200-100,11755.736013619735,290.2650867560428,1015.9278036461492,0.32592592592592595
Newark Liberty International Airport,Los Angeles International Airport,Boeing 737-600,31098.109256268413,871.0954973744655,42945.00802056115,0.7142857142857143
Newark Liberty International Airport,Los Angeles International Airport,Boeing 767-800,37872.63657033552,667.9477349265524,18902.920898421435,0.4497354497354497
Newark Liberty International Airport,Los Angeles International Airport,Airbus A200-100,30147.298405171285,744.3777383992909,33124.80935876844,0.6296296296296297
Newark Liberty International Airport,Los Angeles International Airport,Airbus A220-300,26581.757713557014,553.7866190324378,20490.1049042002,0.53125
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,46079.48266451853,1290.7418113310514,31365.02601534455,0.5042016806722689
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,56599.35333064816,998.224926466458,3294.142257339314,0.31746031746031744
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,44603.009588570516,1101.3088787301363,21475.523135237665,0.4444444444444444
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,39066.235553765444,813.8799073701134,9766.55888844136,0.375
San Francisco International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,20640.424085576517,578.1631396520033,751.6120815476061,0.31092436974789917
San Francisco International Airport,O'Hare International Airport,Boeing 737-600,25027.652098363826,701.0546806264377,7921.917891078745,0.3949579831932773
San Francisco International Airport,O'Hare International Airport,Airbus A200-100,24289.83974403527,599.7491294823524,3898.3693416352908,0.34814814814814815
San Francisco International Airport,Los Angeles International Airport,Boeing 737-600,7813.658841110742,218.86999554932055,11665.770762778788,0.7478991596638656
San Francisco International Airport,Los Angeles International Airport,Boeing 767-800,8767.073551388428,154.62210849009574,4994.294104230092,0.4708994708994709
San Francisco International Airport,Los Angeles International Airport,Airbus A200-100,7679.846250194576,189.62583333813768,9196.85291689968,0.6592592592592592
San Francisco International Airport,Los Angeles International Airport,Airbus A220-300,7178.049034258951,149.54268821372816,6131.250216762855,0.55625
San Francisco International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,69265.00456071709,1940.1962061825518,54907.552634966225,0.5378151260504201
San Francisco International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,85581.25570089638,1509.369589081065,11018.398000291781,0.3386243386243386
San Francisco International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,66975.00440069195,1653.7038123627642,38862.03959052496,0.4740740740740741
San Francisco International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,58387.50380059758,1216.4063291791163,19462.50126686586,0.4
George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,Boeing 737-600,6521.112085944974,182.66420408809452,237.4634653145231,0.31092436974789917
George Bush Intercontinental Airport,O'Hare International Airport,Boeing 737-600,14499.935922049122,406.16067008540966,4589.615571965131,0.3949579831932773
George Bush Intercontinental Airport,O'Hare International Airport,Airbus A200-100,14131.5171177667,348.9263485868321,2268.0212658144083,0.34814814814814815
George Bush Intercontinental Airport,Los Angeles International Airport,Boeing 737-600,19352.131424447667,542.0765104887303,29434.75451953806,0.7563025210084033
