source airport,destination airport,airplane type,flight_hours,total Cost,break even cost per ticket, profit/loss per flight,profit/loss per hour, percent full
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,0.6559225410296785,8027.733451446527,198.21564077645746,5054.498839799666,7705.938618704926,0.4888888888888889
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,0.6559225410296785,7478.497071703819,155.8020223271629,2804.436401888933,4275.560339009665,0.4125
Los Angeles International Airport,Newark Liberty International Airport,Boeing 737-600,4.14312295865702,32075.696524655075,898.4788942480415,50584.361746164745,12209.234978283506,0.773109243697479
Los Angeles International Airport,Newark Liberty International Airport,Boeing 767-800,4.14312295865702,39094.62065581885,689.499482465941,24339.33173104772,5874.634176663981,0.48677248677248675
Los Angeles International Airport,Newark Liberty International Airport,Airbus A200-100,4.411743018613904,31090.584365895254,767.6687497751915,39534.94061342237,8961.297257482505,0.6814814814814815
Los Angeles International Airport,Newark Liberty International Airport,Airbus A220-300,4.411743018613904,27396.4137705459,570.7586202197062,25113.37928966708,5692.393954885723,0.575
Los Angeles International Airport,San Francisco International Airport,Boeing 737-600,0.5600370687091313,7795.067378046553,218.34922627581383,13384.80757070739,23899.860060261675,0.8151260504201681
Los Angeles International Airport,San Francisco International Airport,Boeing 767-800,0.5600370687091313,8743.834222558191,154.21224378409508,6214.753424499031,11097.039413522845,0.5132275132275133
Los Angeles International Airport,San Francisco International Airport,Airbus A200-100,0.5963471643726903,7661.907119167727,189.1828918313019,10688.833388468558,17923.843739095093,0.7185185185185186
Los Angeles International Airport,San Francisco International Airport,Airbus A220-300,0.5963471643726903,7162.556148372128,149.21991975775265,7311.77606812988,12260.938770156283,0.60625
Los Angeles International Airport,George Bush Intercontinental Airport,Boeing 737-600,2.311090310683883,19661.00520098103,550.7284370022699,33759.65318823914,14607.673716674966,0.8151260504201681
Los Angeles International Airport,George Bush Intercontinental Airport,Boeing 767-800,2.311090310683883,23576.256501226293,415.80699296695406,16757.021816568253,7250.699697498892,0.5132275132275133
Los Angeles International Airport,George Bush Intercontinental Airport,Airbus A200-100,2.460930231926025,19111.49624656065,471.8887962113741,26661.716985942636,10833.999534020142,0.7185185185185186
Los Angeles International Airport,George Bush Intercontinental Airport,Airbus A220-300,2.460930231926025,17050.837667484197,355.2257847392541,17406.06345222345,7072.9609585887165,0.60625
Los Angeles International Airport,Logan International Airport,Boeing 737-600,4.413318450164055,33906.664781590545,949.7665204927325,30677.458611915266,6951.109229558294,0.5714285714285714
Los Angeles International Airport,Logan International Airport,Boeing 767-800,4.413318450164055,41383.330976988174,729.8647438622254,8247.47160564315,1868.7687504935361,0.35978835978835977
Los Angeles International Airport,Logan International Airport,Airbus A200-100,4.699456679350516,32857.308122587376,811.2915585824044,22310.517861016124,4747.467501732462,0.5037037037037037
Los Angeles International Airport,Logan International Airport,Airbus A220-300,4.699456679350516,28922.220651325453,602.5462635692803,12050.925271385608,2564.323089589815,0.425
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,3.954008945824375,30794.17345960703,862.5818896248469,5434.265904636537,1374.3686418249977,0.35294117647058826
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,4.2103677675866145,29854.02702242784,737.1364696895763,1105.7047045343643,262.61475613759865,0.3111111111111111
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,2.578155326405506,21470.75992189402,601.4218465516533,9201.754252240298,3569.1233022292304,0.42857142857142855
