Origin Airport,Destination Airport,Flight Time (Minutes)
Los Angeles International Airport,Detroit Metropolitan Airport,333.42583249260866
Los Angeles International Airport,Philadelphia International Airport,391.13530882781924
Los Angeles International Airport,Salt Lake City International Airport,139.8152175696385
Los Angeles International Airport,Ronald Reagan Washington National Airport,378.73065284074806
Los Angeles International Airport,San Diego International Airport,48.608970414611946
Los Angeles International Airport,Baltimore/Washington International Airport,381.2206329646185
Los Angeles International Airport,Tampa International Airport,357.95036633143036
Los Angeles International Airport,Austin-Bergstrom International Airport,227.25805934749872
Los Angeles International Airport,Washington Dulles International Airport,375.57942555813474
Los Angeles International Airport,Nashville International Airport,308.69656812703704
Los Angeles International Airport,Paris Charles de Gaulle Airport,849.1271665084489
John F. Kennedy International Airport,Hartsfield-Jackson Atlanta International Airport,163.5091654027051
John F. Kennedy International Airport,Dallas/Fort Worth International Airport,245.8069761022313
John F. Kennedy International Airport,Denver International Airport,282.27815272388966
John F. Kennedy International Airport,O'Hare International Airport,161.0054550634169
John F. Kennedy International Airport,Los Angeles International Airport,389.49509011851814
John F. Kennedy International Airport,Harry Reid International Airport,360.373638293484
John F. Kennedy International Airport,Orlando International Airport,185.9476913489642
John F. Kennedy International Airport,Miami International Airport,205.02534016635622
John F. Kennedy International Airport,Charlotte Douglas International Airport,132.7945660209636
John F. Kennedy International Airport,Seattle-Tacoma International Airport,382.50527269542584
John F. Kennedy International Airport,Phoenix Sky Harbor International Airport,348.321089903034
John F. Kennedy International Airport,Newark Liberty International Airport,48.608970414611946
John F. Kennedy International Airport,San Francisco International Airport,403.63367603989076
John F. Kennedy International Airport,George Bush Intercontinental Airport,247.18803671584092
John F. Kennedy International Airport,Logan International Airport,73.45130962958174
John F. Kennedy International Airport,Fort Lauderdale-Hollywood International Airport,202.30262267230904
John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,196.35948143636352
John F. Kennedy International Airport,LaGuardia Airport,48.608970414611946
John F. Kennedy International Airport,Detroit Metropolitan Airport,128.3153046003127
John F. Kennedy International Airport,Philadelphia International Airport,48.608970414611946
John F. Kennedy International Airport,Salt Lake City International Airport,327.2049217700677
John F. Kennedy International Airport,Ronald Reagan Washington National Airport,83.17649547775821
John F. Kennedy International Airport,San Diego International Airport,385.8912196306189
John F. Kennedy International Airport,Baltimore/Washington International Airport,73.0373753641958
John F. Kennedy International Airport,Tampa International Airport,193.86135661239248
John F. Kennedy International Airport,Austin-Bergstrom International Airport,266.9914340914826
John F. Kennedy International Airport,Washington Dulles International Airport,85.11516880137732
John F. Kennedy International Airport,Nashville International Airport,162.1126051201413
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,561.3446194682735
Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,303.7555007351199
Harry Reid International Airport,Dallas/Fort Worth International Airport,204.03723822604334
Harry Reid International Airport,Denver International Airport,146.77693939907365
Harry Reid International Airport,O'Hare International Airport,272.52652078051364
Harry Reid International Airport,Los Angeles International Airport,86.2820259203998
Harry Reid International Airport,John F. Kennedy International Airport,370.0370164090526
Harry Reid International Airport,Orlando International Airport,341.72137645557245
Harry Reid International Airport,Miami International Airport,360.3322484187816
Harry Reid International Airport,Charlotte Douglas International Airport,324.7337004788663
Harry Reid International Airport,Seattle-Tacoma International Airport,175.5646018795901
Harry Reid International Airport,Phoenix Sky Harbor International Airport,88.90883699889565
Harry Reid International Airport,Newark Liberty International Airport,367.15369123484123
Harry Reid International Airport,San Francisco International Airport,115.94885911324648
Harry Reid International Airport,George Bush Intercontinental Airport,224.51899870900272
Harry Reid International Airport,Logan International Airport,388.2084579407088
Harry Reid International Airport,Fort Lauderdale-Hollywood International Airport,360.0915823082768
Harry Reid International Airport,Minneapolis-Saint Paul International Airport,235.0992407165499
Harry Reid International Airport,LaGuardia Airport,369.24501521588564
Harry Reid International Airport,Detroit Metropolitan Airport,302.03348123158094
Harry Reid International Airport,Philadelphia International Airport,360.2474020298997
Harry Reid International Airport,Salt Lake City International Airport,110.09744928650065
Harry Reid International Airport,Ronald Reagan Washington National Airport,348.2719096829579
Harry Reid International Airport,San Diego International Airport,89.32275841751827
Harry Reid International Airport,Baltimore/Washington International Airport,350.62787801233253
Harry Reid International Airport,Tampa International Airport,334.20733643778806
Harry Reid International Airport,Austin-Bergstrom International Airport,206.81991879563145
Harry Reid International Airport,Washington Dulles International Airport,345.10521138809946
Harry Reid International Airport,Nashville International Airport,280.13423167823106
Harry Reid International Airport,Paris Charles de Gaulle Airport,816.5062314742872
Orlando International Airport,Hartsfield-Jackson Atlanta International Airport,116.76555740521604
Orlando International Airport,Dallas/Fort Worth International Airport,192.87625775645864
Orlando International Airport,Denver International Airport,272.320974807022
