source airport,destination airport,Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons),Fuel for Boeing 747-400 (Gallons)
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1393.3087621673858,1702.9329315379161,1277.199698653437,1161.090635139488,3483.2719054184645
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,1088.8454251398334,1330.8110751709078,998.1083063781808,907.3711876165279,2722.1135628495836
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1218.1438845392386,1488.8425255479583,1116.6318941609688,1015.1199037826988,3045.3597113480964
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2856.220367085183,3490.936004215224,2618.202003161418,2380.183639237652,7140.550917712957
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,999.4473155775937,1221.5467190392812,916.160039279461,832.872762981328,2498.618288943984
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3390.3838326769333,4143.802462160696,3107.8518466205223,2825.319860564111,8475.959581692334
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,1053.9790201599162,1288.1965801954532,966.1474351465899,878.3158501332634,2634.9475503997905
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,742.9985348098522,908.1093203231528,681.0819902423647,619.1654456748768,1857.4963370246305
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,1468.255718861892,1794.5347674978682,1345.9010756234013,1223.54643238491,3670.6392971547302
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,976.1420013186492,1193.0624460561269,894.7968345420952,813.451667765541,2440.355003296623
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,389.0126329619046,475.4598847312168,356.5949135484126,324.17719413492046,972.5315824047615
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,-1,-1,-1,-1,20586.902888279143
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,1336.3199700951382,1633.2799634496134,1224.9599725872101,1113.5999750792816,3340.7999252378454
Dallas/Fort Worth International Airport,Denver International Airport,1161.7804491399293,1419.953882282136,1064.965411711602,968.1503742832743,2904.451122849823
Dallas/Fort Worth International Airport,O'Hare International Airport,1469.176432187304,1795.6600837844828,1346.7450628383622,1224.31369348942,3672.94108046826
Dallas/Fort Worth International Airport,Los Angeles International Airport,2223.0330048112965,2717.040339213807,2037.7802544103552,1852.5275040094134,5557.582512028241
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,2554.5732739692903,3122.2562237402435,2341.6921678051826,2128.811061641075,6386.433184923225
Dallas/Fort Worth International Airport,Harry Reid International Airport,1901.831375824945,2324.4605704527107,1743.3454278395332,1584.8594798541208,4754.578439562362
