,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Los Angeles International Airport,John F. Kennedy International Airport,Harry Reid International Airport,Orlando International Airport,Miami International Airport,Charlotte Douglas International Airport,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,San Francisco International Airport,George Bush Intercontinental Airport,Logan International Airport,Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia International Airport,Salt Lake City International Airport,Ronald Reagan Washington National Airport,San Diego International Airport,Baltimore/Washington International Airport,Tampa International Airport,Austin-Bergstrom International Airport,Washington Dulles International Airport,Nashville International Airport,Paris Charles de Gaulle Airport
Seattle-Tacoma International Airport,3508.803682676517,2670.92583330529,1646.998893860566,2764.4273103642436,1538.3988029383204,3890.6657629332617,1396.420460755568,4109.480233937167,4384.959674833575,3664.0166547140443,-1,1783.7258002610993,3858.2660233215556,1094.1008194153922,3015.997360353609,4009.585732476924,4372.480926792146,2247.852982303732,3876.77399232375,3096.480865023256,3821.6543572163764,1107.5320426400863,3742.1622750224606,1694.0698716662707,3752.1883118776614,4055.564188684322,2850.630044828765,3705.1067515114287,3179.880230797259,8056.775443302172
Phoenix Sky Harbor International Airport,2551.6392425095214,1394.706790947073,968.7640172754103,2315.5323823334197,595.2977906611535,3461.732658522712,411.3451884352283,2972.8634310899824,3172.5880638931635,2850.8582643212785,1783.7258002610993,-1,3428.3823387486814,1047.7591183855784,1622.3111590022108,3697.3412165484233,3172.424564860169,2054.5607398106736,3454.0708196676687,2686.874837572403,3336.1387910892104,818.4417818495032,3180.858041694402,490.25417839050715,3213.126836310325,2876.027679359645,1402.585508637201,3144.6546059471852,2328.745244101548,8808.726610489166
Newark Liberty International Airport,1200.6606568736054,2207.5134797489945,2579.003632238512,1155.3560054987809,3944.79106774856,-1,3578.879893253477,1513.3784107009767,1752.3870659034367,851.5200853294488,3858.2660233215556,3428.3823387486814,-1,4122.644094030439,2252.1851299931204,322.58453518228157,1718.880355030289,1619.0970077995296,-1,783.5174934625987,-1,3163.660898127597,319.82257945889734,3899.662566213536,271.8172860467144,1608.9901706086644,2418.9496948415067,341.30231377903857,1201.9800942111629,5862.773599469886
San Francisco International Airport,3438.9017022037688,2354.5967287173407,1554.5734028112036,2967.3027535233286,544.0051633460762,4156.63727984208,666.3184266738285,3934.081281607547,4159.667248781909,3691.006558364404,1094.1008194153922,1047.7591183855784,4122.644094030439,-1,2630.142484995903,4346.068531556661,4156.023742447517,2555.3061637337514,4145.907610829959,3341.520228189006,4052.4217065637795,962.7172422175773,3925.536776864933,719.6769391376284,3949.1001219061004,3848.7753353151948,2419.406918007395,3887.7170719972046,3164.535646314213,8971.089859767784
George Bush Intercontinental Airport,1108.2951295270882,361.0922409783824,1387.9578230685693,1491.4479223032981,2217.362797640405,2280.0428215983566,1964.3111289067676,1373.5625681246513,1552.3436931543754,1467.6450036441204,3015.997360353609,1622.3111590022108,2252.1851299931204,2630.142484995903,-1,2569.650684661438,1553.640469952566,1668.2339663712628,2278.9936372703396,1732.1538786770034,2131.1707528708334,1924.2877755560887,1943.0261439422238,2096.1130338497373,1987.5630828257774,1266.8327177580118,-1,1915.1326664938645,1057.077168904018,8079.067508739771
Logan International Airport,1523.1615618273804,2512.4561581955695,2818.9696086137687,1392.5744749179564,4197.373280514664,300.016097404474,3826.121124818567,1808.4505895014233,2029.8974667981624,1172.1177860842542,4009.585732476924,3697.3412165484233,322.58453518228157,4346.068531556661,2569.650684661438,-1,1996.246445643351,1805.1762474489212,296.91450973845866,1015.6643782720598,450.5163867477221,3383.5716179702363,642.2005105451309,4161.050030894401,594.3487520152227,1910.1958077423096,2732.158492765339,663.7256262636312,1515.694291907626,5540.19959813813
Fort Lauderdale-Hollywood International Airport,937.421828020273,1801.4607224180986,2742.1279134813035,1907.7427056041631,3767.675084428394,1725.4555552438883,3495.8319523098835,285.7207041584516,-1,1020.3425157599507,4372.480926792146,3172.424564860169,1718.880355030289,4156.023742447517,1553.640469952566,1996.246445643351,-1,2398.5271631750493,1736.2084266859151,1820.2671985657107,1602.2528898220087,3353.830893227951,1451.7557485115415,3649.4886161820664,1494.400176981051,317.07428967861307,1777.5205680407605,1455.484574307298,1279.3136974129498,7347.58740321275
Minneapolis-Saint Paul International Airport,1461.2359067334896,1375.0997319973678,1094.9426423659584,536.8407068186253,2470.811849018974,1652.234595691325,2090.388610702076,2113.0951551655326,2420.970042975008,1497.0831100112832,2247.852982303732,2054.5607398106736,1619.0970077995296,2555.3061637337514,1668.2339663712628,1805.1762474489212,2398.5271631750493,-1,1639.1896851925637,848.6685226187276,1575.3509611355496,1594.660853230009,1495.862264215065,2467.121433042938,1504.645936434744,2107.033506233591,1681.1174679748733,1459.1483059679526,1120.2456498656295,6780.663031293193
LaGuardia Airport,1226.2546071689883,2234.434515665799,2603.0404466669916,1178.6199408908458,3969.6899310688327,-1,3603.461617299384,1533.138659748001,1769.7500637646392,876.1206620034972,3876.77399232375,3454.0708196676687,-1,4145.907610829959,2278.9936372703396,296.91450973845866,1736.2084266859151,1639.1896851925637,-1,805.872972329787,-1,3186.588837422999,345.2865375336604,3925.0111858201,297.4956126543951,1629.7451003100234,2445.889957558184,367.46381995262925,1228.9283202288689,5837.065606558991
Detroit Metropolitan Airport,959.4391592734664,1588.988848724336,1804.8488780327302,377.2167919984782,3181.708910260118,817.3712635034466,2810.7983984310085,1545.9692854136983,1849.17529289507,806.4920589574479,3096.480865023256,2686.874837572403,783.5174934625987,3341.520228189006,1732.1538786770034,1015.6643782720598,1820.2671985657107,848.6685226187276,805.872972329787,-1,728.5716624382078,2381.2493826595323,651.8476276958118,3146.6600237914417,657.3145118452981,1586.5189713320183,1850.4451024918053,616.2409838015209,735.8978322256082,6365.363411455958
