Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A200-100,85.27595789448497
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A220-300,85.27595789448497
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,572.1989376958525
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,572.1989376958525
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,613.0211599398518
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,613.0211599398518
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,151.50239227714926
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,151.50239227714926
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,155.99826622220905
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,155.99826622220905
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 737-600,140.98067912528876
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 767-800,140.98067912528876
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A200-100,144.5512245421711
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A220-300,144.5512245421711
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,159.82058919870667
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 767-800,159.82058919870667
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,165.0208072020852
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,165.0208072020852
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,202.95584596053237
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,202.95584596053237
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,212.1526659311071
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,212.1526659311071
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 737-600,222.94198773106146
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 767-800,222.94198773106146
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A200-100,233.89648222493366
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A220-300,233.89648222493366
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 737-600,183.5929453085248
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 767-800,183.5929453085248
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A200-100,191.086901486581
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A220-300,191.086901486581
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 737-600,177.66498173035419
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 767-800,177.66498173035419
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A200-100,184.6376051431365
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A220-300,184.6376051431365
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 737-600,192.9297993312875
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 767-800,192.9297993312875
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A200-100,201.2448819994879
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A220-300,201.2448819994879
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 737-600,172.16161471021928
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 767-800,172.16161471021928
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A200-100,178.65024635937317
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A220-300,178.65024635937317
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 737-600,255.5457874819628
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 767-800,255.5457874819628
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A200-100,268.5200548158473
