source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit/loss per flight, percent full
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,9486.021607237959,197.6254501507908,-6916.890755277678,0.08125
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,14151.716882152477,396.4066353544112,-8205.61735183631,0.12605042016806722
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16689.646102690596,294.35001944780595,-12274.395810973507,0.07936507936507936
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13795.516289796251,340.630031846821,-8686.065812093937,0.1111111111111111
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12459.764068460398,259.57841809292495,-8566.087797066524,0.09375
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 737-600,12622.73505133177,353.57801264234655,-2722.550697346067,0.23529411764705882
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 767-800,14778.418814164712,260.6423071281254,-7480.4342145772,0.14814814814814814
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A200-100,12320.182944267499,304.2020480066049,-3802.525600082561,0.2074074074074074
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A220-300,11185.612542776475,233.03359464117656,-4660.6718928235305,0.175
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 737-600,10738.51042049756,300.79861121841907,-5324.135418566017,0.15126050420168066
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 767-800,12423.138025621949,219.1029634148492,-8479.284684154663,0.09523809523809523
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A200-100,10502.071458374838,259.31040637962565,-5834.4841435415765,0.13333333333333333
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A220-300,9615.425350414633,200.32136146697152,-6009.640844009145,0.1125
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 737-600,11538.696558860844,323.2127887636091,-3135.1640510070065,0.2184873949579832
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 767-800,13423.370698576056,236.7437512976377,-7268.033164837477,0.13756613756613756
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A200-100,11274.180890128886,278.3748367933058,-4036.435133502935,0.1925925925925926
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A220-300,10282.247132384036,214.21348192466743,-4712.696602342683,0.1625
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 737-600,21676.219472905574,607.1770160477753,-18640.334392666697,0.04201680672268908
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 767-800,26095.274341131964,460.2341153638795,-23794.103764312567,0.026455026455026454
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A200-100,21056.001245786083,519.9012653280514,-18456.494919145825,0.037037037037037035
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A220-300,18730.18289408798,390.21214362683287,-16779.122175953813,0.03125
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,10185.25457816294,285.30124868803756,-7617.543339970602,0.07563025210084033
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,11731.568222703676,206.90596512704897,-9869.414536560234,0.047619047619047616
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,9968.228101736171,246.1290889317573,-7753.066301350355,0.06666666666666667
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,9154.378815135784,190.71622531532884,-7437.932787297825,0.05625
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 737-600,24981.98353824739,699.7754492506273,-15185.127248738609,0.11764705882352941
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 767-800,30227.479422809243,533.1125118661242,-22763.904256683505,0.07407407407407407
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A200-100,24245.773589536962,598.6610762848633,-15864.518521548876,0.1037037037037037
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A220-300,21484.986281872825,447.60388087235054,-15218.531949659919,0.0875
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 737-600,10522.733572969097,294.7544418198627,-7869.943596590332,0.07563025210084033
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 767-800,12153.416966211375,214.34597824005954,-10224.30316205084,0.047619047619047616
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A200-100,10293.865728303517,254.1695241556424,-8006.340010902735,0.06666666666666667
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A220-300,9435.611310807582,196.57523564182463,-7666.434190031161,0.05625
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 737-600,8598.176429485047,240.8452781368361,-5467.187813706178,0.1092436974789916
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 767-800,9747.72053685631,171.91746978582557,-7512.793429640577,0.06878306878306878
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A200-100,8436.836905643468,208.31696063317204,-5728.716417412231,0.0962962962962963
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A220-300,7831.813691237539,163.1627852341154,-5710.697483194039,0.08125
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 737-600,13086.557405735888,366.5702354547868,-9420.85505118802,0.08403361344537816
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 767-800,15358.19675716986,270.86766767495345,-12649.520080420327,0.05291005291005291
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A200-100,12767.730830096034,315.25261308879095,-9615.204699208125,0.07407407407407407
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A220-300,11572.131171446574,241.08606607180363,-9161.270510728536,0.0625
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 737-600,10041.025563317515,281.26122026099483,-7509.674580968562,0.07563025210084033
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 767-800,11551.281954146893,203.72631312428385,-9717.745136028338,0.047619047619047616
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A200-100,9829.059754078304,242.6928334340322,-7644.824253172013,0.06666666666666667
