aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00003,178,John F. Kennedy International Airport,O'Hare International Airport,740,904,31
N00003,230,O'Hare International Airport,Seattle-Tacoma International Airport,940,1217,119
N00003,300,Seattle-Tacoma International Airport,Los Angeles International Airport,1243,1430,119
N00003,349,Los Angeles International Airport,San Francisco International Airport,1456,1568,17
N00003,389,San Francisco International Airport,Denver International Airport,1604,1794,56
N00003,441,Denver International Airport,Newark Liberty International Airport,1820,2088,52
N00003,503,Newark Liberty International Airport,San Francisco International Airport,2124,2488,119
N00003,609,San Francisco International Airport,Newark Liberty International Airport,2524,2898,119
N00003,716,Newark Liberty International Airport,Denver International Airport,2934,3198,42
N00003,791,Denver International Airport,George Bush Intercontinental Airport,3224,3403,42
N00003,843,George Bush Intercontinental Airport,LaGuardia Airport,3439,3677,99
N00003,920,LaGuardia Airport,Charlotte Douglas International Airport,3703,3844,48
N00003,957,Charlotte Douglas International Airport,Newark Liberty International Airport,3870,4010,48
N00003,1003,Newark Liberty International Airport,Ronald Reagan Washington National Airport,4036,4126,30
N00003,1030,Ronald Reagan Washington National Airport,LaGuardia Airport,4152,4250,27
N00003,1068,LaGuardia Airport,Nashville International Airport,4276,4441,40
N00003,1110,Nashville International Airport,Los Angeles International Airport,4477,4760,119
N00003,1197,Los Angeles International Airport,Denver International Airport,4786,4964,82
N00003,1250,Denver International Airport,Hartsfield-Jackson Atlanta International Airport,5000,5218,24
N00003,1321,Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,5244,5506,80
N00003,1395,Phoenix Sky Harbor International Airport,Salt Lake City International Airport,5532,5702,12
N00003,1452,Salt Lake City International Airport,San Diego International Airport,5738,5888,9
N00003,1500,San Diego International Airport,Harry Reid International Airport,5914,6017,10
N00003,1534,Harry Reid International Airport,San Francisco International Airport,6043,6170,22
N00003,1577,San Francisco International Airport,Salt Lake City International Airport,6196,6343,18
N00003,1629,Salt Lake City International Airport,Dallas/Fort Worth International Airport,6369,6562,24
N00003,1681,Dallas/Fort Worth International Airport,Washington Dulles International Airport,6598,6811,44
N00003,1737,Washington Dulles International Airport,Los Angeles International Airport,6837,7172,119
N00003,1806,Los Angeles International Airport,Harry Reid International Airport,7198,7299,62
N00003,1832,Harry Reid International Airport,Phoenix Sky Harbor International Airport,7335,7438,7
